销售单明细,商品编码
1317060100180,2BCX015
1317060100183,2BPY551
1317060100183,3CFY085-
1317060100183,3CFY085-
1317060100183,2BCX151
1317060100183,7GTX002
1317060100183,4DTT001
1317060100183,2BJA051
1317060100183,2BYY103
1317060100183,2BYL080
1317060100183,2BKJ006
1317060100183,2BYD011
1317060100183,2BPL053
1317060100183,3CFB006
1317060100183,2BPY557
1317060100183,3CFY084-
1317060100183,2BYY012
1317060100183,3CFY019
1317060100183,2BYY207
1317060100183,2BYA018
1317060100183,7GTD005
1317060100183,2BCL022
1317060100183,2BYL007
1317060100183,2BQX003
1317060100183,2BJD004-
1317060100183,3CFY103
1317060100183,2BYZ065
1317060100183,2BYL194
1317060100183,2BYZ115
1317060100183,2BPW028-1
1317060100183,2BSB014
1317060100183,2BJS007
1317060100183,2BJS005
1317060100183,2BPW012
1317060100183,2BPM033
1317060100183,2BPB066
1317060100183,2BRD002
1317060100183,2BPD095
1317060100203,2BPJ006
1317060100203,4DCS002
1317060100207,2BJJ001
1317060100209,2BPF125
1317060100209,2BYA018
1317060100209,2BJA019
1317060100209,2BYF104
1317060100209,2BYF104
1317060100209,2BYH024
1317060100209,2BPZ010
1317060100209,2BPW015
1317060100209,2BPX083
1317060100219,2BYY023
1317060100212,2BPY041
1317060100226,2BKK049
1317060100229,3CFY034
1317060100229,2BYW013
1317060100229,2BYS003
1317060100229,2BYD011
1317060100229,2BYY023
1317060100229,2BYB008
1317060100229,2BYL007
1317060100229,2BYZ489
1317060100229,3CFY128
1317060100229,2BPF089
1317060100229,3CFB202
1317060100229,2BYZ080
1317060100229,2BYD009
1317060100229,2BYZ065
1317060100229,2BPK061
1317060100229,2BYF093
1317060100229,2BYL019
1317060100229,2BPG001
1317060100229,2BPX031-
1317060100229,2BPQ004
1317060100229,2BPX083
1317060600067,2BYF034
1317060600067,2BPB031
1317060600067,2BKB006
1317060600068,3CFT021
1317060600069,2BJK005
1317060600069,2BYZ059
1317060600069,2BYT014
1317060600069,2BYP206
1317060600069,2BPJ008
1317060600069,2BYX042
1317060600069,2BPS035
1317060600069,2BPM030
1317060600069,2BPF007
1317060600069,2BJN006-
1317060600069,2BPY014
1317060600070,2BRP009
1317060600071,2BHF018
1317060600071,2BPC038
1317060600071,2BYF034
1317060600071,2BPF358
1317060600071,2BPY557
1317060600071,2BYP182
1317060600071,3CBZ002
1317060600071,2BPT124
1317060600071,2BPA002
1317060600071,2BJN009
1317060600071,2BYK011
1317092600150,2BCY002
1317092600150,2BYP218
1317092600150,2BYT049
1317092600150,2BCX001
1317092600150,2BYL164
1317092600150,2BYL163
1317092600150,2BYK011
1317092600150,2BPC015
1317092600150,2BPW005
1317092600150,2BPW005
1317092600150,2BPA010
1317092600150,2BKZ005
1317092600160,2BYR041
1317092600162,8HTY113
1317092600162,2BYP218
1317092600162,2BYP218
1317092600174,2BYP189
1317092600174,2BYP188
1317092600174,2BPW325
1317092600174,2BPF091
1317092600174,2BCL005
1317092600174,3CFY127
1317092600174,2BYS003
1317092600174,2BYD011
1317092600174,2BYM007
1317092600174,2BYL007
1317092600174,2BYP182
1317092600174,2BYS018
1317092600174,2BYZ021
1317092600174,2BYP206
1317092600174,2BYF099
1317092600174,2BYL164
1317092600174,2BYL163
1317092600174,2BYK011
1317092600174,4DPF038
1317092600174,2BYP187
1317092600174,2BKZ019
1317092600174,2BPP028
1317092600174,2BPP072
1317092600174,2BPY136
1317092600175,2BCX225
1317092600175,2BPX084
1317092600175,2BPS193
1317092600175,2BJF015
1317092600175,2BJF008
1317092600175,2BCY084
1317092600175,2BPY448
1317092600175,2BPY448
1317092600175,2BPM007
1317092600175,2BJH005
1317092600175,2BRJ001
1317092600175,2BYQ006
1317092600175,2BRW008
1317092600175,2bjn033
1317092600175,2BCM046
1317092600175,2BHM003
1317092600175,2BRC002
1317092600175,2BRP002
1317092600175,2BHX009
1317092600175,2BEL025
1317092600175,2BJL017
1317092600175,1ADS002
1317092600175,2BJF050
1317092600175,2BYM004
1317092600175,2BYL031
1317092600175,2BCG008
1317092600175,2BPS048
1317092600175,2BRL026
1317092600175,2BRK001
1317092600175,2BJY022
1317092600175,2BSY003
1317092600175,2BPM006
1317092600175,2BRH001
1317092900035,2BPN027
1317092900035,2BJG012
1317092900035,2BRP007
1317092900035,3CFT017
1317092900035,2BDS005
1317092900035,2BRL006
1317092900035,2BKS020
1317092900035,2BJY027
1317092900035,2BSC001
1317092900035,2BXL001
1317092900035,2BRF002
1317092900035,2BJN006-
1317092900036,3CFY086
1317092900036,2BYY111
1317092900037,2BKS053
1317092900039,2BYP190
1317092900041,2BCH010
1317092900042,2BCX039
1317092900042,2BPY419
1317092900042,2BPL030
1317092900042,2BPY448
1317092900042,2BPM007
1317092900042,2BJH005
1317092900042,2BKJ006
1317092900042,2BKB049
1317092900042,2BCT021
1317092900042,2BCD003
1317092900042,2BCD003
1317092900042,2BPF342
1317092900042,2BJF012
1317092900042,2BHJ003
1317092900042,2BJN049
1317092900042,2BPY509
1317092900058,7GTX002
1317092900058,3CFY126
1317092900058,3CFY109
1317092900062,2BYP027
1317092900062,2BYW001-
1317092900062,2BYW013
1317092900062,2BYD011
1317092900062,2BYY020
1317092900062,2BYS056
1317092900062,2BYY023
1317092900062,2BYY023
1317092900062,2BYY012
1317092900062,2BYA002
1317092900062,2BYP039
1317092900062,2BYP206
1317092900062,2BYX029
1317092900062,2BYJ004
1317092900062,2BYJ003
1317092900062,2BYP028
1317092900062,2BYP028
1317092900062,2BYP030
1317092900062,2BYP021
1317092900062,2BYL037
1317092900062,2BYL033
1317092900062,2BYL031
1317092900062,2BYZ035
1317092900062,2BYL019
1317092900062,2BYP183
1317092900064,2BYL032
1317092900064,2BYF122
1317092900064,2BPG204
1317092900064,2BCF002-1
1317092900064,2BYZ133
1317092900064,2BPF089
1317092900064,2BDS005
1317092900064,3CFB202
1317092900064,2BPB031
1317092900064,3CFY096-
1317092900064,2BPS097
1317092900064,2BPW015
1317092900064,2BPF008
1317092900064,2BPF064
1317092900065,2BYZ104
1317092900065,2BYM007
1317092900065,2BYZ052
1317092900065,6FKP001
1317092900075,1ACA004
1317092900079,2BQS003
1317092900079,2BYA212
1317092900079,2BJQ080
1317092900079,2BYG039
1317092900079,2BCX216
1317092900079,2BPL053
1317092900079,2BYJ064
1317092900079,2BYJ064
1317092900079,2BYP182
1317092900079,3CFY126
1317092900079,2BYP039
1317092900079,2BYP218
1317092900079,2BYP206
1317092900079,2BYF099
1317092900079,2BCL050
1317092900079,2BYL164
1317092900079,2BPY026
1317092900079,2BQK003
1317092900079,2BSB001
1317092900079,2BPL126
1317092900109,2BJK025
1317092900109,2BYW001-
1317092900109,2BCX151
1317092900109,2BPC038
1317092900109,2BYX001
1317092900109,2BRP017
1317092900109,2BYT024
1317092900109,2BHZ013
1317092900109,2BHZ013
1317092900109,2BYW013
1317092900109,2BCT023
1317092900109,2BPG011
1317092900109,2BYD011
1317092900109,2BRX001
1317092900109,2BRX001
1317092900109,2BYH008
1317092900109,2BPF342
1317092900109,2BPF342
1317092900109,2BBY001
1317092900109,3CFB003
1317092900109,2BEY012
1317092900109,2BPG121
1317092900109,2BHM003
1317092900109,2BYA006
1317092900109,7GTD005
1317092900109,2BYS018
1317092900109,2BCY005
1317092900109,3CFB008
1317092900109,2BPY052
1317092900109,2BCP001
1317092900109,2BRB001
1317092900109,2BYP206
1317092900109,2BYT001
1317092900109,2BPP009
1317092900109,2BYX029
1317092900109,2BYD009
1317092900109,2BYM004
1317092900109,2BCQ024
1318011900156,3CFB006
1318011900156,2BPW046
1318011900156,2BPW039
1318011900156,2BYZ133-
1318011900156,2BJH042
1318011900156,2BYB008
1318011900156,2BCX199
1318011900156,2BJF100
1318011900156,2BPQ025
1318011900156,2BPP012
1318011900156,2BCQ002
1318011900156,2BCX001
1318011900156,2BPP010
1318011900156,2BJD004-
1318011900156,3CFY109
1318011900156,2BYL031
1318011900156,3CFP002-1
1318011900156,3CFY003
1318011900156,2BPS035
1318011900156,2BPS097
1318011900156,7GTD001
1318011900156,2BKY040
1318011900156,4DPF038
1318011900156,2BPB103
1318011900156,2BPB103
1318011900156,2BPB103
1318011900156,2BJY027
1318011900156,2BQK002
1318011900156,2BKB006
1318011900156,2BJS005
1318011900156,2BPF008
1318011900156,2BPF007
1318011900156,2BXF004
1318011900156,2BKS022
1318011900156,2BPG065
1318011900156,2BPY136
1318011900157,2BJA002
1318011900157,2BCY005
1318011900157,2BKK007
1318011900157,2BKE005
1318011900157,2BKS009
1318011900158,2BER007
1318011900158,2BYP262
1318011900158,2BPB032
1318011900158,3CFJ004
1318011900158,2BYF031
1318011900158,2BYT014
1318011900158,2BCX077
1318011900158,2BYL150
1318011900158,2BPW003
1318011900158,2BYQ003
1318011900158,2BYZ490
1318011900158,2BYH024
1318011900158,3CFY104
1318011900158,2BYD050
1318011900158,2BYD049
1318011900158,2BCL050
1318011900158,2BPA014
1318011900158,2BPA014
1318011900158,2BYW004
1318011900158,2BPW029
1318011900158,2BPM033
1318011900158,2BPF026
1318011900159,3CFS060
1318011900160,2BHW050
1318012200080,2BCT023
1318012200080,2BYY034
1318012200080,2BYL150
1318012200080,2BYL150
1318012200080,1ACA004
1318012200080,2BKP015
1318012200080,2BCY005
1318012200080,2BCL025
1318012200080,2BKK007
1318012200080,2BCL050
1318012200080,2BYL164
1318012200080,2BKF035
1318012200080,2BYY043
1318012200080,2BYZ057
1318012200080,2BJT047
1318012200080,2BPY026
1318012200080,2BPB103
1318012200080,2BPH040
1318012200081,2BPS185
1318012200081,2BYT024
1318012200081,2BPW067
1318012200081,2BHJ002
1318012200081,2BJN049
1318012200081,2BHG017
1318012200081,2BHG006
1318012200081,2BYB008
1318012200081,2BCX004
1318012200081,2BCG008
1318012200081,2BKF010
1318012200081,2BBJ002
1318012200081,2BBJ002
1318012200081,2BPH012-
1318012200081,2BJS007
1318012200081,2BPC027
1318012200081,2BPM030
1318012200082,1ABA003
1318012200082,3CFY016
1318012200082,2BBQ001
1318012200082,2BBQ001
1318012200082,2BDG004-
1318012200082,2BPC005
1318012200082,2BYS001
1318012200082,2BYQ006
1318012200082,2BHJ002
1318012200082,2BHJ002
1318012200082,3CFB006
1318012200082,1AKJ001
1318012200082,3CFY125
1318012200082,2BJF021
1318012200082,3CFY099
1318012200082,2BPJ013
1318012200082,2BPJ008
1318012200082,2BYD049
1318012200082,2BPK061
1318012200082,2BXC001
1318012200082,2BCL050
1318012200082,2BPB031
1318012200082,2BJY030
1318012200082,2BEF010
1318012200082,2BKB006
1318012200082,2BPB013
1318012200082,2BPB012
1318012200082,2BPF029
1318012200083,2BYP261
1318012200083,2BYP263
1318012200083,2BYW065
1318012200083,3CFY034
1318042000131,2BYD049
1318042000131,2BYY184
1318042000131,2BYM004
1318042000131,2BQK003
1318042000131,2BJL109
1318042000131,2BJL109
1318042000131,2BPB013
1318042000131,2BPF074
1318042000132,3CFY414
1318042000133,2bcw011-
1318042000133,3CFY414
1318042000135,2BPH021
1318042000135,2BPK067
1318042000135,3CFY034
1318042000135,2BYT014
1318042000135,2BRJ001
1318042000135,2BYX022
1318042000135,2BCD003
1318042000135,2BYS003
1318042000135,2BHH003-
1318042000135,2BJN049
1318042000135,2BYA018
1318042000135,2BYS018
1318042000135,2BYY193
1318042000135,2BJD004-
1318042000135,2BYY184
1318042000135,2BYL031
1318042000135,2BYL164
1318042000135,2BKE005
1318042000135,2BKF003
1318042000135,2BPM030
1318042000135,2BPQ004
1318042000138,2BBF001
1318042000138,3CFY019
1318042000138,3CFY295
1318042000138,3CFY129
1318042000138,3CFS059
1318042000138,3CFB012-1
1318042000139,3CFT103
1318042000142,5E332
1318042000142,1AJA009
1318042000142,2BCZ007
1318042000142,2BYF034
1318042000142,2BYH003
1318042000142,2BKH005
1318042000142,3CFW200
1318042000142,3CFY126
1318042000142,2BPY095
1318042000142,2BJF057
1318042000142,1ARA003
1318042000142,2BPP006
1318042000142,2BYZ390
1318042000142,2BYT220
1318042000142,2BPA002
1318042000142,2BYL033
1318042000142,2BYK011
1318042000142,7GTJ005
1318042000142,2BPW026
1318042000142,2BJY027
1318042000142,2BPP028
1318042000142,2BSC003
1318042000142,2BJQ025
1318042000142,2BPM030
1318042000142,2BSK005
1318042000145,2BPL188
1318042000145,2BPM033
1318042000145,2BJK017
1318041800080,2BCF013
1318041800080,2BPK144
1318041800080,2BCJ008
1318041800080,2BPF086
1318041800080,2BKH007
1318041800080,2BPS013
1318041800080,2BRF002
1318041800081,UN018177
1318041800082,2BYY225
1318041800082,3CFY034
1318041800082,4DTJ006
1318041800083,2BYP263
1318041800083,2BJA051
1318041800083,2BPM007
1318041800083,2BYX015
1318041800083,7GTD005
1318041800083,2BKQ068-
1318041800083,1ADS002
1318041800083,2BDS203
1318041800083,8HFY100
1318041800083,2BKF016
1318041800083,7GTD001
1318041800083,2BJT029
1318041800083,2BSZ002
1318041800083,2BJY025
1318041800083,2BPG018
1318041800084,2BRP001
1318041800084,3CBZ002
1318041800084,2BPH016
1318041800084,2BKQ005
1318041800085,2BPS205
1318041800085,2BPS004
1318041800085,2BJQ072
1318041800085,2BPM033
1318041800086,2BBD003
1318041800086,2BPY553
1318041800086,2BJN049
1318041800086,2BCA006
1318041800086,2BRP007
1318041800086,3CFY129
1318041800086,2BYZ133
1318041800086,2BPF089
1318041800086,2BKK007
1318041800086,3CFY103
1318041800086,2BPD033
1318041800087,2BRA001
1318041800088,8HST001
1318041800088,2BRW008
1318041800088,2BPK024
1318041800088,2BPA126
1318041800088,2BKH006
1318041800088,2BJQ072
1318041800090,UN018983
1318041800090,UN018331
1318041800090,2BYY225
1318041800090,2BET003
1318041800090,2BPC038
1318041800090,2BPC005
1318041800090,2BSB004
1318041800090,2BPG011
1318041800090,2BYW027
1318041800090,2BYH008
1318041800090,2BJT058
1318041800090,2BCT004
1318041800090,2BYM007
1318041800090,2BYL021
1318041800090,2BPS004
1318041800090,2BJA067
1318041800090,2BYD050
1318041800090,2BYD049
1318041800090,2BYZ061
1318041800090,2BPA002
1318041800090,2BYL031
1318041800090,2BCL050
1318041800090,2BPA014
1318041800090,2BYL019
1318041800090,2BYP183
1318041800090,2BP031
1318041800090,2BPH026
1318041800090,2BPP028
1318041800090,2BSB014
1318041800092,2BCX240
1318041800092,2BPS193
1318041800092,2BPL033
1318041800092,2BHQ004
1318041800092,2BPN020
1318041800092,2BRX002
